"Revenue type";"Date";"Planned revenue volume";"Actual revenue volume";"Revenue completion rate";"global_id"
"Вид дохода";"Дата";"Планируемый объём дохода";"Фактическое исполнение";"Процент исполнения";"global_id"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.04.2024";"0.1";"0";"0";"2695057050"
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями";"01.07.2024";"2.4";"1.4";"60.5";"2696369622"
"Доходы от продажи квартир";"01.07.2024";"4.2";"2.3";"55.1";"2696369623"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.07.2024";"8.1";"7.9";"98.4";"2696369624"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.07.2024";"0.1";"0.01";"27.7";"2696369625"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.07.2024";"0.4";"0.3";"63";"2696369626"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.07.2024";"2.3";"2.7";"115";"2696369627"
"Доходы, всего";"01.07.2024";"4324.2";"2365.6";"54.7";"2696369628"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.07.2024";"1.9";"0.8";"43.9";"2696369629"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.07.2024";"4.4";"10.9";"246.3";"2696369630"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.07.2024";"";"-0.001";"";"2696369631"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.07.2024";"0.2";"0.3";"120.7";"2696369632"
"Налоги на имущество";"01.07.2024";"";"-4.0E-4";"";"2696369633"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.07.2024";"0.2";"0.3";"120.7";"2696369634"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.07.2024";"";"1.0E-5";"";"2696369635"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.07.2024";"46.5";"28.5";"61.3";"2696369636"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.07.2024";"";"-1.0E-5";"";"2696369637"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.07.2024";"25.1";"13.8";"54.9";"2696369638"
"Налоговые доходы";"01.07.2024";"3981.5";"2070.5";"52";"2696369639"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.07.2024";"";"-2.0E-4";"";"2696369640"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.07.2024";"0.1";"0.03";"56.2";"2696369641"
"Неналоговые доходы";"01.07.2024";"308.1";"242.3";"78.6";"2696369642"
